Operator,Station,Code,Cubic Name,NLC,Gated
SWR,Surbiton,SWR,TOC5571,5571,1
SWR,Twickenham,SWR,TOC5574,5574,1
SWR,Vauxhall,SWR,TOC5597,5597,1
SWR,Virginia Water,SWR,TOC5676,5676,1
SWR,Walton on Thames,SWR,TOC5575,5575,1
SWR,Wandsworth Town,SWR,TOC5576,5576,1
SWR,Weybridge,SWR,TOC5577,5577,1
SWR,Wimbledon,SWR,TOC5578,5578,1
SWR,Winchester,SWR,TOC5924,5924,1
SWR,Woking,SWR,TOC5685,5685,1
SWR,Wokingham,SWR,TOC5696,5696,1
TfWR,Bridgend,TfW,TOC3809,3809,1
TfWR,Cardiff Central,TfW,TOC3899,3899,1
TfWR,Cardiff Queen Street,TfW,TOC3900,3900,1
TfWR,Cathays,TfW,TOC3820,3820,1
TfWR,Chester ,TfW,TOC2412,2412,1
TfWR,Colwyn Bay,TfW,TOC2451,2451,1
TfWR,Hereford,TfW,TOC3607,3607,1
TfWR,Neath,TfW,TOC4216,4216,1
TfWR,Newport  ,TfW,TOC3674,3674,1
TfWR,Pontypridd,TfW,TOC3904,3904,1
TfWR,Rhyl,TfW,TOC2461,2461,1
TfWR,Shrewsbury,TfW,TOC4387,4387,1
TfWR,Swansea,TfW,TOC4222,4222,1
TPE,Dewsbury,FTPE,TOC8326,8326,1
TPE,Huddersfield,FTPE,TOC8437,8437,1
TPE,Manchester Airport,FTPE,TOC2961,2961,1
TPE,Manchester Piccadilly,FTPE,TOC2968,2968,1
Virgin,Birmingham International,Virgin,TOC1215,1215,1
Virgin,Birmingham New Street,Virgin,TOC1127,1127,1
Virgin,BNS Navigation Street North,Virgin,TOC4444,4444,1
Virgin,Coventry,Virgin,TOC1030,1030,1
Virgin,Crewe,Virgin,TOC1243,1243,1
Virgin,Euston,Virgin,TOC1444,1444,1
Virgin,Manchester Picadilly,Virgin,TOC2968,2968,1
Virgin,Rugby,Virgin,TOC1087,1087,1
Virgin,Stockport ,Virgin,TOC2771,2771,1
Virgin,Stoke-on-Trent,Virgin,TOC1314,1314,1
West Midlands Railways,Bletchley,WMT,TOC1360,1360,1
West Midlands Railways,Euston,WMT,TOC1444,1444,1
West Midlands Railways,Five ways – Birmingham,WMT,TOC4503,4503,1
West Midlands Railways,Hemel Hempstead,WMT,TOC1391,1391,1
West Midlands Railways,Milton Keynes,WMT,TOC1378,1378,1
West Midlands Railways,Moor Street – Birmingham,WMT,TOC4515,4515,1
West Midlands Railways,Northampton,WMT,TOC1069,1069,1
West Midlands Railways,Snow Hill – Birmingham,WMT,TOC1006,1006,1
West Midlands Railways,University – Birmingham,WMT,TOC4504,4504,1
West Midlands Railways,Watford Junction,WMT,TOC1402,1402,1
